Posição na ROM 		Address			Código máquina 		Instrução 		opcode 		Funct
0 			0x00000000 		0x2002001A 		addi $2,$0,0x1A 	0x08 		  -
1 			0x00000004 		0x2003FFF9		addi $3,$0,-7 		0x08 		  -
2 			0x00000008		0x00432020		add $4,$2,$3 		0x00 		 0x20
3 			0x0000000C		0x00432822		sub $5,$2,$3 		0x00 		 0x22
4 			0x00000010		0x00433024		and $6,$2,$3 		0x00 		 0x24
5 			0x00000014		0x00433825		or $7,$2,$3 		0x00 		 0x25
6 			0x00000018		0x00434027		nor $8,$2,$3 		0x00 		 0x27
7 			0x0000001C		0x00434826		xor $9,$2,$3 		0x00 		 0x26
8 			0x00000020		0x0043502A		slt $10,$2,$3 		0x00 		 0x2A
9 			0x00000024		0x28EBFFFE		slti $11,$7,-2 		0x0A 		  -
10 			0x00000028		0x292CFFE7		slti $12,$9,-25 	0x0A 		  -
11 			0x0000002C		0x00000000 		nop 			0x00 		 0x00
